Organization,2022,2023,2024,2025,Total_Funded,Total_Apps,Fund_%
City of Portland Department of Public Works,0,0,3,2,5,5,100
"City of Portland Department of Parks, Recreation, and Facilities",0,0,2,1,3,3,100
Port Resources,1,0,0,1,2,3,67
Alpha One,0,1,0,1,2,2,100
COP Department of Public Works,2,0,0,0,2,2,100
"City of Portland, Public Works Dept.",0,2,0,0,2,2,100
Catherine Morrill Day Nursery,1,0,0,1,2,2,100
"City of Portland Department of Parks, Recreation and Facilities",0,0,1,0,1,1,100
"City of Portland, Parks And Recreation",0,1,0,0,1,1,100
Habitat for Humanity of Greater Portland,1,0,0,0,1,1,100
